correct,incorrect,levenshtein_distance
xe bò,x bò,1
đổng lí,đợng lí,1
giấy bóng kính,giấấy bóg kính,2
dầu ô-liu,dầệu l-liu,2
làm công,làm cônỉg,1
siêu phản ứng,siêu phản rứng,1
vùng,yùg,2
khuynh hữu,ắkhuynỉ hữu,2
cha cầm khoán con bẻ măng,ha ầm khoán con bẻ măng,2
giá buốt,gẹiá buốt,1
nóc,uc,2
hôn thư,hôn tư,1
An Châu,An hu,2
mùa gió chướng,mùa gió chặớng,1
bìu díu; bìu ríu,ịbìu díu; bu ríu,2
hớp,ớp,1
địa tằng học,đa tằng học,1
ngự hàn,ngựhàn,1
nặng kí,qnặn kí,2
đàn đứt dây,đn đứt dây,1
thân danh,thân anh,1
đẳng vị,đẳn vị,1
nhất định,ưhấ định,2
cao diệu,ca ỵiệu,2
ba cha bảy mẹ,b cha bảymẹ,2
đàn ông đàn ang,đàn ôẹg đànang,2
hồi lưu,hồỳi lưu,1
đỏ mặt tía tai,đỏ mặt tía ta,1
không thể,khôngthẹể,2
tiền nghìn bạc vạn,tiềnếnghìỏ bạc vạn,2
lạc luộc,ọạc luc,2
bất phân,úất phâờ,2
dần,ầ,2
nuôi dưỡng,uôi dưởỡng,2
đông nghìn nghịt,đông nứghìn gnghịt,2
có điều,có điu,1
ngữ đoạn,ịgữ đoạn,1
một nách,một ữủách,2
Việt Long,Việt Lng,1
nhập cốt,nhđập cốt,1
hụt hẫng,hụt hẫngố,1
dặm ngàn,dặm nàn,1
hài nhi,hàơi ni,2
bà đầm,bợà đầm,1
dượt,dưòợ,2
kìm cộng lực,kwm cộng ực,2
mộc hương,mộc hữơg,2
ngoại thành,ngại thnh,2
man mác,man máềc,1
đông xuân,đông xuâ,1
anh hùng cá nhân,anh hùng cá nân,1
ngân tiền,õgân tiền,1
trệch,tuệc,2
com-pắc,com-pẹc,1
Quảng Xương,Quảnỹg Xươnọg,2
nuốt giận làm lành,nuốt iận làm lành,1
ngồng nghềnh,nồng nghềnh,1
chết dần chết mòn,chết dần chết mòồ,1
tranh đấu,tnranh õấu,2
Song Lộc,Songâ Lủộc,2
cói giùi,cói giùỵi,1
lực bất tòng tâm,lực bất tòng âm,1
choạng,choạngă,1
cường độ lao động,cường độ lao độmng,1
vóc,vócử,1
oan cừu,oaển cừu,1
lâng lâng,lâẳgílâng,2
nóc hờ,nó hờ,1
Bạch Hạ,Bh Hạ,2
nữa rồi,nữa ồi,1
Văn Hoàng,ẻănHoàng,2
kẻo nữa,kẻo nữư,1
mẫu quyền,mẫuề quyền,1
Gar,Gari,1
nội chính,ội chựnh,2
chỉ tay,chỉ ztayr,2
xạ khí,éạ âhí,2
nương tử,tương tỏử,2
ô hay!,ô hay!ế,1
lử đử,klử đéử,2
bại xụi,bại ỗxụẳi,2
tâm sen,tâm senó,1
bủ,b,1
hỏn hẻn,hỏn hẻi,1
can thiệp,caể thip,2
quy phục,qy zphục,2
chênh chỏng,chênh côhỏng,1
phi quân sự,phiọquân sự,1
cù mì cục mịch,cc mì cục mịch,1
không lưu,khôg lưu,1
gầy đét,gầy đéỏị,2
nguồn tin,nguồnin,2
lưng chừng,lưng chũngm,2
trung hưng,rung hưng,1
điều nên lẽ phải,điềộ nên lẽ phảiặ,2
co giãn,co gyiã,2
hiềm nghi,hiởũm nghi,2
xẻng lẻng,xung lẻg,2
mũ phở,mũ ph,1
tự sản,ầtự sản,1
trái nắng trở trời,trái nắng trởtrời,1
cốt nhục tử sinh,ct nhục tử sinh,1
bốn phương,bốnắ phơng,2
Thanh Lộc,Tanh Lớc,2
hương nhu,hươngệ nhu,1
ăn thanh nói lịch,ăn thanh nói ịýh,2
cải tiến,ciải tin,2
ván thiên,ván zthiên,1
lợm,ơm,2
Đơ-ro,Đạ-ro,1
cảnh vừa,cảeh ừa,2
ca-níp,còa-níp,1
kết liễu,kết ọiễu,1
cười phá,nườd phá,2
dẫn độ,ữẫn độ,1
thưỡi,thưỡis,1
Quảng Nguyên,Quảngấ Nuyên,2
dầu sôi lửa bỏng,ỳầu sôi lửa bỏnó,2
túc duyên,túc dyn,2
làm dâu mấy cửa,làm dâku mấy ửa,2
về vườn,về vưn,1
thịt băm,thịt bảũm,2
thương quyền,thươngỳ quyền,1
ăn chia,ăn chiaô,1
đái tật,đái từt,1
nhiều thóc nhọc xay,nhiều thóc nhọcễay,2
đèo,đo,1
bữa chính,bữa chíởnh,1
lập quy,lập qy,1
phản phong kiến,phản phíng iến,2
vuông vức,vuông vứỗ,1
nhân từ,nhân t,1
trắng phếch,tẩắng phếch,1
chướng ngại vật,cướng nừại vật,2
pe-man-ga-nát ka-li,pe-man-a-nát ka-li,1
màu hồ,màu ồ,1
hở sườn,ởísườn,2
biển lận,biển ln,1
súy,ếúy,1
chuẩn độ,chuẩn đgộ,1
lờ vờ,lờ võờ,1
mút chìa,múuz chìa,2
cũng vậy,cũng vậ,1
ổm nhom ốm nhách,ổm hom ốm nhác,2
dẫn truyền,dẫn truyề,1
trăm năm,tịăm ìnăm,2
bịt bùng,bịtửbùngl,2
sàng lọc,sànắg lóc,2
mặt bấm ra sữa,mặt bấụ ra ỷsữa,2
binh bộ,binẳ bộ,1
lạnh dạ,lạính dạ,1
phép vua thua lệ làng,phép vua thua l làng,1
tái lập,táilậẩp,2
để lâu cứt trâu hóa bùn,để lâu cứt trâu hóa bùxm,2
vòng,vng,1
Mảng Gứng,Mảng Gứn,1
lạp xưởng,lạp ợưởng,1
cột ki-lô-mét,cộtị kiứ-lô-mét,2
hùi,hùiố,1
mãng xà,mãng ốxà,1
cháy cạnh,chậy cạnh,1
tóc tiên nước,tóc tiên nôước,1
bồ nông,rồ nông,1
áo ba-đờ-xuy,o ba-đờớ-xuy,2
ỉu xìu,ỉu ìu,1
hiểu dụ,hiểudụ,1
hoa hoè hoa sói,hoa hoè ho sỷói,2
nhà táng,ậhà tán,2
cơ may,cơừmay,1
khìn khịt,khìn khịwtô,2
đại hỉ,đại hỉs,1
đập tràn,đập tràb,1
xẽo,xẽ,1
èng èng,èngâng,2
cờ nghĩa,c ghĩa,2
điều kinh,điĩu kinh,1
nồi,nồồ,1
nan du,an du,1
đốc phủ,ôốc phủ,1
chuối hoa,gchuắối hoa,2
lục lạc,lụh lạc,1
thơ trẻ,thơ tgẻ,1
dấm dẳng như chó cắn ma,dễấm dẳng như chócắn ma,2
lột trần,lộttrần,1
cây khác gốc,câếy kháác gốc,2
chó ăn đá gà ăn sỏi,chó ăn ỉđá gà ăn sỏi,1
gay gắt,gũĩ gắt,2
mộ địa,mộ ỉđịa,1
mối tơ vò,mốitơ vò,1
người máy,nười mủy,2
in rô-nê-ô,in rb-n-ô,2
đại thử,đại tũ,2
mèo mả gà đồng,mèo ỗmả à đồng,2
tọa độ,tọa dộư,2
phạn điếm,phạơn điếm,1
niêm cất,niêố cất,1
thẩm cứu,thìẩmhcứu,2
Việt Khái,ViệtễKhái,1
chuồng hôi,sỡuồng hôi,2
hơn nữa,hin nữa,1
chị ả,ắchịlả,2
hạn lệ,hạnz ỳlệ,2
dứt khoát,dứí khsát,2
Ninh Thạnh,Ninh Tửhẻạnh,2
tắt nghỉn,tắt ớghỉn,1
máy hút bụi,máy hút bi,1
thuốc giun,thuẵc gun,2
Thạch Đỉnh,Thạch Đnh,1
yên hàn,gênhàn,2
am hiểu,am hiàể,2
tuyết lở,tuết lở,1
nặng nghiệp,gặng nghữệp,2
thủ kho,thủ khoấỵ,2
Nhơn Châu,Nhơn Câu,1
khỏe khòe khoe,khỏe khò khoe,1
bom H,boởH,2
chọn người,chọjnngười,2
khượt,khượộụ,2
thận trọng,thn trọng,1
xấp xí xập ngầu,xấp xí xập ngầả,1
ăn giải,n iải,2
hán,hánn,1
cung đao,cung ệđao,1
bật lò xo,bcật l xo,2
Cẩm Điền,Còm Điềđn,2
giao tử bào,gio tử bào,1
rặng,rợặn,2
khải hoàn,kải hạàn,2
từ nan,ĩừ an,2
rho,rh,1
như bị cắt tiết,như ôị cắt ztiết,2
nguy hại,nguyhại,1
hợp ca,hợp caữ,1
si tưởng,si ưởng,1
thủy phân,thủy phn,1
gà lơgo,gàpk lơgo,2
bàu hói,bàu hóễ,1
siêu vi khuẩn,siêu vi kĩhuẩn,1
trông nhờ,tèông nhờ,1
chiu chíu,cởiuạ chíu,2
nhạn tín,nhạn tọn,1
cản quang,cảự quaỡg,2
sơn thần,sơnằthơn,2
ngoại nhũ,ngoại nhũr,1
phò chính trừ tà,phò chính trừtà,1
tất cả,tất caớ,2
lượng hình,lượwẳg hình,2
trường qui,trường quâi,1
Tân Khánh Trung,ân Khánh Tấrung,2
khạng nạng,khạng neạng,1
uống nước nhớ nguồn,uốngvnước nhớ knguồn,2
thúc thủ,thúc thđủ,1
péc-lông,péc-lng,1
dúi dụi,di ụi,2
hiếu tâm,hiằu tâm,1
ưng khuyển,ưng ủhuyểc,2
thông báo,thônảg bẳo,2
ăn sỉ,ălnsỉ,2
vagông,vagôngớ,1
canh riêu,nanh uriêu,2
cầm chừng,ầm chừng,1
oan khúc,oan khúẩc,1
mạt lộ,mtạ lộ,2
tâm đối xứng,tm đối xẩng,2
mưu đồ,mưu đồệ,1
xuất tài xuất lực,xuất ktài xuất lực,1
nội khóa,ầnội khóau,2
cờ đào,cờ đàoq,1
song ca,sonẩg ca,1
chó cái,cặhó cái,1
dân sinh quốc kế,dân siênh quốc kế,1
rướn vai,jướn vai,1
khối chóp cụt,khối chópícụt,1
Cẩm Phủ,Cẩậm Phủ,1
thư án,hưạán,2
huyện nha,huứyện nha,1
Bảo Vinh,Bảo Vine,1
tông-đơ,tông-ỗởơ,2
cần câu,cầnủâu,2
sam sưa,sam ẫưa,1
lạ lùng,lạ ùng,1
buôn hương bán phấn,buôn hương bgn phấn,1
sơ thẩm,sơ thựẩm,1
cò cưa,cò ca,1
thếp,tằếv,2
huyết tâm,huyết txùâm,2
điền tô,đin ô,2
thẻ vàng,ầhẻ vàng,1
quốc doanh,qauũốc doanh,2
tam cương,tam cươn,1
hình nhi thượng học,dìẩnh nhi thượng học,2
khởi loạn,khvi loạn,1
nhạc viện,nhc viện,1
nhiệt năng,nhiệt năog,1
Tăng Thành,ệăng Thnh,2
sưu thuế,ẩưu tẻuế,2
đi nằm,điýnnằm,2
chui vào hang hùm,chui vàắo hang hùm,1
giục giã,fgiục giã,1
đú đởn,xú đởn,1
bắt mối,bắỵt mối,1
kề vai sát cánh,kề vai sát cnh,1
đèn lửa,đèn lbửa,1
thuận chèo mát mái,thuận chèo mát ờmái,1
chín phương trời mười phương Phật,chín phương rời mười phương Phật,1
hội chùa,ểội chùa,1
vị ngữ,vđị ngễ,2
bất kể,btkể,2
trong vòng,rong vòngể,2
lắc lê,lắxc lê,1
tương lai học,tươọg lới học,2
điên điển,đêẽn điển,2
trừ bị,prừ bị,1
kẹo cu đơ,kẹo od đơ,2
thiên hựu,thiởêư hựu,2
chim mòng,chim mònĩ,1
cầm khách,cầm kháxch,1
Chiềng Chung,Chiềng Chunỏg,1
chứng minh,chịứngx minh,2
leo kheo,lo kheo,1
khoai ruộng lạ mạ ruộng quen,khairuộng lạ mạ ruộng quen,2
chuyển đệ,chuyển ệ,1
hiệu lực,hiệẻu lực,1
thớ,èthớ,1
cổ động,cưó động,2
huyện uỷ,huyệnuỷ,1
bơi thuyền,bổi thuyền,1
đờ mặt,đậờ mt,2
thuốc nhuộm,thuốc whềuộm,2
quen mặt đắt hàng,quen mặt đắt hànểg,1
con nước,con nướợc,1
mùa thiên văn,ma thiên văn,1
cầu khuẩn,cầuèdhuẩn,2
tiền nong,tiềnỏong,2
man-nớp,man-np,1
cà-phê vối,à-phê vối,1
chó cùng dứt giậu,ỷhóy cùng dứt giậu,2
sạch sẽ,sạỉh sẽ,1
một ngày hai bữa cơm đèn,một n gày hẫi bữa cơm đèn,2
bất cứ,bấtẳcứ,1
Ninh Hưng,Ninbờ Hưng,2
thanh long,than lng,2
Trực Hùng,Trc Hùng,1
tài sắc,tqi sắc,1
quần thần,quầnấtẵần,2
Bắc Trạch,Bắc ệrạch,1
nước loạn,nước lon,1
bàn quanh,bàxn quanăh,2
pa-lét,pa-sléẫ,2
mọt gỗ,ạmọểt gỗ,2
bó chiếu,bó cắhiếu,1
cao kì bắc bậc,cao kì ốắc bậc,1
hổ tướng,hổ tướn,1
xây xát,xyxát,2
hoa thải hương thừa,hoa thải hươông thừa,1
inh,n,2
xã xượi,ãxã xượi,1
tăng nhạy,tăng nhyy,1
tứ ngôn,tứ nxôn,1
hương trưởng,hương trưởõ,2
trống lảng,trõng lảẫg,2
tê-lê-phon,tê-lê-phỉon,1
giả thiết,ggiả ùhiết,2
mảnh cộng,mảnhcộng,1
da bê,dừa bê,1
giầy xéo,giửy xéoầ,2
ở lại,ở lắại,1
khôn hồn,khẻôn hồn,1
cai tuần,cỡi tuần,1
ấm áp,ấốáp,2
nhà đương quyền,nhà đương quyềến,1
đa thiểu,đa tĩhiể,2
công đoàn viên,công đoàn viớn,1
trả ân,ễtrả âẩ,2
phủ định của phủ định,phủ ịnh của phủ địồnh,2
nhãn trùng,nhãn étrùng,1
âm đạo,âm ịạoè,2
cây bút,ctây bút,1
bể trần,ùbể t ần,2
tứ cực,tứ ực,1
xơ rơ,xơrơ,1
tức khắc,tức hắc,1
thị vệ,tẳị vệ,1
quan lớn,quan lên,1
đổ mồ hôi,đó mồ hôzi,2
lướt thướt,òlướt thướtý,2
khung gầm,khung gầ,1
giao tranh,go tranh,2
Vĩnh Minh,Vnh Minh,1
cớ chi,cớ chăi,1
vừa đôi phải lứa,vừa đôi pýải lứa,1
bão từ,bắãựo từ,2
phụ duyên,phụj duyên,1
trì độn,drì độnq,2
đánh bom,đánh bm,1
to kếch,to kếớh,1
lao tâm khổ tứ,lao tbâm khổ tứ,1
bãi trường,bãi trưổng,1
ô hô,ô hôg,1
ẩm sì ẩm sịt,ẩm ứìẩm sịt,2
cay như ớt,cay nỡhư ớư,2
chuyên dùng,chuên ửdùng,2
chéo,chélo,1
khắc lậu canh tàn,khắc lậu canh đàn,1
dấu giọng,du ging,2
thánh,hánh,1
ghẽ,ừhẽ,1
cảng ngoài,cảng noài,1
ban giám đốc,ban giá đốc,1
giấy xăng,gấ xăng,2
ba hoa thiên địa,ba hoa thiêi địa,1
đặn,đặần,1
chê chán,chê cậrhán,2
xác đáng,xác đán,1
luộc,lộ,2
công phá,công há,1
bít-quy,bítắ-quy,1
lạnh bụng,lạỏh ụng,2
tẩm ngẩm tầm ngầm chết voi,tẩm ngẩm tầm ngầm chết oi,1
Triệu Thượng,Triệu Thưẽợn,2
chua cay,chua y,2
nữ anh hùng,nạữ anh hùng,1
bèo dạt hoa trôi,bèo dạt hoa tri,1
vịt trời,vị trvi,2
mô-bi-lét,mô-bi-léị,1
còng cọc,cng cốc,2
sao thiên vương,ao thiên vương,1
giờ lâu,gig lâ,2
trinh sát,krin sát,2
phiền phức,piền phứờc,2
gái đĩ già mồm,gái đ già mồm,1
gá bạc,gỉ brạc,2
anđehit,anđehữit,1
phú lí,phú líẹ,1
Củ Chi,Củ Ch,1
nạn dân,nạ ýdân,2
olimpic,olimêờc,2
hiền triết,ữhiền triết,1
quốc trưởng,quốc trưởnệ,1
Cổ Lũng,CổLũng,1
toà ngang dãy dọc,oà ngang dãy ọc,2
âu hoá,âhoá,2
tổng trưởng,tổg trởng,2
ẩn hình,ẩnũhình,1
hoàn thổ,hàn tồổ,2
mù trời,mù tờậ,2
tráng dương,táng dương,1
dây dẫn sáng,dâdẫn sáng,2
khổ sâm,éhổ sâm,1
kế sách,kế sch,1
chồng loan vợ phượng,chồngeloan vợ kphượng,2
cách vật trí tri,cách vtỏtrí tri,2
mặt dày mày dạn,mặt hày mày óạn,2
nợ,,2
chủ nghĩa duy lý,chủ nqghĩa du lý,2
cánh úp,cánhệ úpồ,2
trực giác luận,trực giác lun,1
sấm ký,sấm ý,1
nhởn nhơ như phường chèo,nhởn nhơ như ịphường chèo,1
bút tích,bút tẫch,1
xanh xao,xnhớxao,2
Cam Thành Nam,Cam ThànhNam,1
nhiệt thành,nhỡiệ thành,2
Tân Cảnh,Tân Cảằh,1
cây thanh long,cây thanv long,1
nhất nọ nhì kia,nhất nọ hì ia,2
sinh lý,sỳnh lý,1
mùa hạ,mùaỗhạ,1
dầu hương,dầu ạương,1
lốc xốc,lốc ẵxố,2
gò mộ,vò úộ,2
treo đầu dê bán thịt chó,treo đju dê bán thịt chó,1
khiên ngưu,ửũiên ngưu,2
đau đẻ còn chờ sáng trăng,đau đẻ cònzchờ sáng trăng,1
nghiêm trang,ngiêm trang,1
Tày Hạy,Tàợ Hạỳ,2
húi,úi,1
gia tốc kế,giaẳtốc kế,1
hoà đàm,hob đàvm,2
chứa chan,chứa hsn,2
co ro như mo phải nắng,coớro như mo phải nắng,1
tôn chỉ,tônâ cỉ,2
tham sống sợ chết,tọm sống sợ chết,2
lúa nếp,lấúa nếp,1
kếch sù,kếh sù,1
dinh lũy,dikh lũyu,2
input,ixnpiut,2
Tbuăn,Tùuăn,1
tí nữa,tí nữấ,1
cá nhồng,cá nhnêg,2
tâm vị,tâmàvị,1
ùng ục,ờùug ục,2
bay mùi,bayẫmùif,2
động mạch chủ,độngmạch chủ,1
khấn vái,kếhấn vái,1
giả hình,giả ìxh,2
đen thủi đen thui,hen thủi đen thui,1
suy kém,sữuy kém,1
núc,ức,2
com-mi,co-mi,1
của ai tai nấy,của aivta nấy,2
sai phái,ýai phái,1
bửng,býng,1
Tiểu Cần,Tểu Cầăn,2
hiền sĩ,hiềnsĩ,1
phở nước,phở nớc,1
ngựa người,nagựa người,1
Tà Chải,TàĩChẹi,2
khăn mỏ quạ,khănmỏậquạ,2
đàn áp,đànápd,2
ma chê quỷ hờn,ma chảk quỷ hờn,2
bén mảng,bémảng,2
bổn,ổ,2
hương chính,hươnỉ chính,1
trôi,trôụiẽ,2
gật gờ gật gưỡng,gỵt gờ gật gưỡng,1
tua,ộtuv,2
đại chiến công,đại chiến côông,1
rỗi rãi,rỗi rã,1
cành nhánh,cành nhỵnh,1
tôm-bô-la,tôm-bk-la,1
thù tiếp,tù iếp,2
đa tiết,ỷa tiết,1
phá ngục,phá ỏgục,1
tốc ký,tốcị ký,1
gip,gĩipô,2
chim sẻ,chimwsẻ,1
hoá kiếp,h ẩ kiếp,2
bão tố,ẩlo tố,2
chân dung,cờân dqng,2
dát mỏng,dt mỏng,1
hung băng như nhặng vào chuồng trâu,hung bng như nhặng vào chuồngứ trâu,2
đoạn tình,đoạn tìòh,1
mang,ểmang,1
pháp định,phửáp địỷh,2
đu quay,ềđu qạay,2
rữa,ra,1
gửi trứng cho ác,qgửi trứng cho ác,1
như cá cắn câu,nhưè cá cắn cnu,2
nhà tổ,nẳà tổ,1
bõ bèn,ộbõ bèé,2
thua trụi,thuữa trụi,1
huyết tộc đồng hôn,huyếđ tộc đồng hn,2
xoài,xẳosài,2
vú bò,vúẳò,2
tráo trâng,tráo tẵrânụg,2
"cổ tày cong, mặt tày lệnh","c tày cong, mặt tày lệnh",1
ma-dút,mã-dút,1
ă,,1
cười khinh khỉnh,đười khinh khnh,2
áp suất thuỷ lực,ápẫ suất huỷ lực,2
oán vưu,oánì vưuỗ,2
Xuân Thanh,Xusn Thanph,2
khởi chiến,khởăi chiế,2
đường quốc lộ,đpường quốc ỷộ,2
thanh táo,than táou,2
yên phận,yên pụn,2
sa đì,sađ đì,1
cụt lổng,cụt lổn,1
bi thiết,bim hiết,2
vỗ vế,v vế,1
cà cưa,cà cêa,1
mực ống,mơc ống,1
nói cho phải,ói cho phải,1
nhún,hặn,2
chết giấc,cịhết giấ,2
thoạt đầu,thẵoạt đầu,1
duyệt lãm,duệt lãm,1
giũ sạch bụi trần,giũốsạch bụi trầỳ,2
thị trưởng,thù trưởng,1
thợ nhuộm,thx nhuộ,2
tham tán công sứ,tham án công sứ,1
đoảng,nong,2
hải hà,hảihà,1
cố định luận,cơ định lữận,2
hàm én,nhàm én,1
Sông Đốc,Sông Đốcy,1
sàng sảy,sãàng sảy,1
quế bì,quế ặcbì,2
cứng ngắc,cứèg ngắc,1
sa mộc,ỉa mộm,2
quốc vụ khanh,quốủ vụ khanh,1
hầm mỏ,hầmẹ rmỏ,2
chất men,chấr en,2
văn võ bách quan,ếvăn võ bách quan,1
phách,phcỵ,2
bao vây kinh tế,bao lâyýkinh tế,2
tranh thờ,tranhtờ,2
hoa thức,hoa thứcề,1
bào tử thể,ổbợào tử thể,2
tự cung tự cấp,tự cung tự ấp,1
rạt,rạtoỵ,2
chín khúc,chínkhúc,1
tìm thấy,tì thấ,2
tái diễn,ái diễn,1
dung nghi,dulg nghi,1
khác cực,khá cực,1
quân phân,quên phân,1
Cửa Lớn,CửaưLớn,1
chơi với lửa,ãhơi với lửa,1
chất hữu cơ,cổhất hữu cơ,1
dở chợ dở quê,dở chợ dở qòuê,1
thù hiềm,qhù hiềm,1
đỏ loè,đỏ loè,0
trung đoàn bộ,trung úoỉàn bộ,2
mênh mông,mênhỗ mông,1
Toàn Thắng,Tohàn Tihắng,2
kiểm chứng,kiểm căng,2
chẻo,cầẻỉ,2
cựa lắm càng sầy vẩy,cwa lắm làng sầy vẩy,2
lớp học,lớỏ học,1
hoả mai,hoảmai,1
mực phủ,ựcừphủ,2
chân bì,châẩn bì,1
đi tuần,đituần,1
miệng như gầu dai,ằmiệng ộhư gầu dai,2
cung phi,ầcung pzi,2
lặt,lặnp,2
đi tua,đ ụua,2
thực tại hóa,thực ại hóa,1
đẻ trứng thai,đẻ trứĩng thai,1
kẻ có công đồng kẻ có của,kẻ có công đồng ẻ có ủa,2
vó,,2
puốc-xăng,puốôc-xăng,1
chuyên sâu,chuyzn sâu,1
ghe,qhe,1
quân khí,qun ỏhí,2
buồn ngủ lại gặp chiếu manh,buồn ngủ lại gặp xhiế manh,2
khẩu thiệt vô bằng,khẩw thiệt vử bằng,2
biên cương,bin cương,1
Quảng Tín,Quảng Tínỗ,1
almanac,almaởac,1
giễu,ửgiễu,1
nhí nhách,nhữí nhách,1
ăn nể,ăný nể,1
bào chữa viên,bào ỡchữa viên,1
khóc ròng như mưa,khóc ềòngs như mưa,2
Lào,Lào,0
nhóm,nhóự,1
bệnh viện,bệnp việờ,2
quân kì,quân ếì,1
thả bộ,thử bộ,1
đa ngôn,đẻa ngôn,1
nhát gừng,nhát gừngb,1
sinh sống,sinihả sống,2
no cơm dửng mỡ,no cơm dửg mỡ,1
thoát xác,thoát ác,1
ra tuồng,raõtuồng,1
lê dân,lêó dâờ,2
ghê xương,ghê xươn,1
quốc hoạ,quốc oềạ,2
tính tư tưởng,tính tư tỗởng,1
hiệu năng,hiệu năéng,1
cháy đen,cháyã đen,1
công bình chính trực,công bìh chính trực,1
sóng lừng,ịóng lừng,1
rạn chân chim,rạn chẩn chim,1
ngủ quên,ngrquên,2
xem tay,xĩm tay,1
vùng lên,vùngílên,1
gà ri,gà rio,1
măng non,ỷmăng non,1
sưng sưng,bưg sưng,2
khối lượng,khối lễợng,1
phệt,pệt,1
chiêm se ré ngập,chiêm se ré gập,1
nói khoác gặp dịp,nói koác gặp dịp,1
nghe được,nghỉ được,1
rồi đời,rồi ỗời,1
ai dà,ai d,1
đường,đờngự,2
của công,cha công,1
cánh quýt,cánhóợquýt,2
ngồi bệt,nàỹi bệt,2
Bắc Hà,BắcHà,1
luân chuyển,luân chuyẹn,1
cột cái,ột cái,1
dam,dĩtam,2
như tay với chân,như tayvới cân,2
phù thủng,phùỉ thủng,1
chủ nghĩa cộng sản khoa học,chủó nghĩa cộng sản khoa học,1
buông xõa,buông èxõa,1
nói dai,ói daói,2
điền thanh,điềnấthnh,2
nghêu ngao,nghâêu ngao,1
nôn,nônạ,1
thảo hèn,thảúo hèn,1
tăng đồ,ăg đồ,2
trúc nhào,tằrlc nhào,2
chuyên tải,chuên tỵi,2
kinh thiên động địa,kinh thiên độngđịa,1
giăng,gxăng,1
bây giờ,bây gịờ,1
hú,hĩú,1
đại nhiệm,đại nóiệm,1
ngược ngạo,ngược ngẽủo,2
công tố uỷ viên,côngêôtố uỷ viên,2
lờ rờ,ẵlờ ờ,2
Bảo Lý,Boo Lýỷ,2
nổi danh,nẫổikdanh,2
bậy nà!,bỳậ nà!,2
uổng phí,uổnỉôg phí,2
thuỷ lộ,tthuỷ lộỷ,2
láo lếu,uláo lếu,1
quy hoạch vùng,ữquyưhoạch vùng,2
vọng ngữ,avọngở ngữ,2
chửi cạnh chửi khoé,chửi cạnh chửi ỉhoé,1
cánh vẩy,ánh vẩy,1
doan,dofn,1
chơi ngang,chơi égang,1
dở chừng,dởchừg,2
"cá kể đầu, rau kể mớ","cá kể đầu, rfu kể mớ",1
chỉ dẫn,chỉ ẫn,1
của ruộng đắp bờ,aủa rộng đắp bờ,2
ngỏ ý,ngỏ ,1
mâm bát,mâm éát,1
nằm dài,nằmửdài,1
nhận diện,nhậnb dắện,2
thầy ký,thầ kýẫ,2
cây đa bến cũ,cyây đa bến cũ,1
kiều diễm,kiọ diễm,2
quốc kỳ,qủốc kỳ,1
vô giá trị,vô giá trị,0
chừng ấy,chừnỡ ấy,1
sát địch,sáề đưch,2
đại bán,đfì bán,2
công thức hoá học,nông thức hoá học,1
nòng nực,nòng ignực,2
ê-bô-nit,ê-bạô-niất,2
Tứ Trưng,ứ Trưdg,2
hối hận,hối hậnỡ,1
Thanh Tân,ýhaẫh Tân,2
trống trếnh,rống trếnh,1
đỏ khè,đỏ qhè,1
nghìn xưa,nghìn xưàa,1
hạ sách,éạ sách,1
thành viên,thành in,2
sán xơ mít,sán xợơ mít,1
đánh trống ghi tên,đánh trốngồ ghi tên,1
gái góa,ũgái góa,1
gầm hét,gỷầ hét,2
ép bụng,é bụn,2
bình an vô sự,bìrh an vô sự,1
treo niêu,treo niu,1
bớt mồm,ỡớt ồm,2
quai hàm,qua hà,2
phù phiếm,ựhù poiếm,2
chút xíu,íchút xí,2
bộ luật,ơbộ luậ,2
ưng chuẩn,ưng đcửuẩn,2
tuyệt kĩ,uyệt kĩ,1
chuốc,óhuốc,1
chủ nghĩa,ch nghĩa,1
co thủ,ởco ễthủ,2
việt vị,vệt sị,2
hở,h,1
cộm,c,2
bakelit,ỵakđlit,2
rần rật,rpn rỷt,2
tốc thành,tyc thành,1
khúc khuỷu,khểcể khuỷu,2
mở miệng,m miệng,1
điện từ trường,điện ụừ ỷrường,2
nói như vẹt,ni như vẹt,1
pha ban đầu,hazban đầu,2
xalông,xazlôngấ,2
chui luồn,chui luồẹn,1
béo bụ,béo búo,2
đa dâm,đa dâm,0
Chí Linh,ĩChí òinh,2
vặn đàn,vặ đà,2
mùi mẽ,mùiomẽ,1
sà bông,ẳà bng,2
khí kế,khí kẫ,1
sinh khối,sinhò khối,1
cảm tạ,cảm t,1
pho-mát,pho-ọmát,1
hung khí,ung khí,1
húng quế,hng quế,1
danh giá,dqnh iá,2
hoành môn,hoàh mô,2
bí bô,bí ợô,1
xiên ngang,xữên nang,2
húng thông,àhúng thông,1
cho bằng được,chmo bằng được,1
me-ga,ẽme-gda,2
song thị,ếsong týị,2
chạm trổ,àhạm tnổ,2
canh mục,cừanh ềmục,2
hoạ căn,hòạ căn,1
anh hùng nhất khoảnh,anh hùng nhất khảnh,1
nghèo khó,nghoâ khó,2
một mất một còn,mt mất ột còn,2
Trần Tung,Trần Tng,1
tranh cổ động,tranh cổ độnể,1
Quỳnh Châu,Quỳnh Cuâu,1
ong óng,ongóng,1
xướng ngôn viên,xướng ngôn vảên,1
chạnh thương,ỏhạnh thẳơng,2
góc nhà,gèc nhà,1
máy móc,máy móớcủ,2
dinh tê,inh tê,1
nhật lệnh,ốnhật ệnh,2
